Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5, C6, C7, C8",0805,8,C,
"J1, J10, J11, J12, J13, J14, J15, J16, J2, J3, J4, J5, J6, J7, J8, J9",PinHeader_1x01_P2.54mm_Vertical,16,Conn_01x01,
"JP1, JP10, JP11, JP12, JP13, JP14, JP15, JP16, JP17, JP18, JP19, JP2, JP20, JP21, JP22, JP23, JP24, JP25, JP26, JP3, JP4, JP5, JP6, JP7, JP8, JP9",PinHeader_1x02_P2.54mm_Vertical,26,Jumper_2_Open,
"L1, L10, L13, L14, L2, L5, L6, L9",L_10.4x10.4_H4.8,8,L,
"L11, L12, L15, L16, L3, L4, L7, L8",1812,8,L,
"R1, R10, R11, R12, R13, R14, R15, R16, R2, R3, R4, R5, R6, R7, R8, R9",0805,16,R_US,
